Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Observation Details,Checklist Comments,ML Catalog Numbers
S69973988,Chachalaca Cabecigrís,Ortalis cinereiceps,751,2,CR-SJ,,L11607616,"Prueba 42 San Gerardo, Rivas, San José, CR (9,464, -83,601)",9.4637398,-83.6010286,2020-06-02,10:51 AM,eBird - Stationary Count,3,1,,,2
S62448459,Chachalaca Cabecigrís,Ortalis cinereiceps,751,2,CR-SJ,,L7978408,"Reserva Rio Blanco, Rivas, San José, CR (9,488, -83,612)",9.4879416,-83.6120808,2018-10-01,08:05 AM,eBird - Stationary Count,120,1,,,2
S70394253,Chachalaca Cabecigrís,Ortalis cinereiceps,751,4,CR-SJ,,L9657857,"Ruta 242 San Gerardo, Rivas, San José, CR (9,463, -83,6)",9.4633819,-83.5998976,2020-06-11,08:07 AM,eBird - Stationary Count,13,1,,,1
S63417505,Chachalaca Cabecigrís,Ortalis cinereiceps,751,20,CR-SJ,,L10174042,"Ruta 242 San Gerardo, Rivas, San José, CR (9,464, -83,601)",9.463743,-83.6012628,2020-01-15,06:22 AM,eBird - Traveling Count,235,1,2.61,,7
S69974110,Chachalaca Cabecigrís,Ortalis cinereiceps,751,5,CR-SJ,,L7999757,"Ruta 242 San Gerardo, Rivas, San José, CR (9.467, -83.593)",9.4672408,-83.5930097,2020-05-14,02:24 PM,eBird - Traveling Count,150,1,1.9,,1
S69974109,Chachalaca Cabecigrís,Ortalis cinereiceps,751,4,CR-SJ,,L8345330,"Ruta 242 San Gerardo,Reserva DÜ Rivas, San José, CR (9.467, -83.595)",9.4668121,-83.5948002,2020-05-23,07:30 AM,eBird - Traveling Count,190,1,2.9,,1
S63663862,Chachalaca Cabecigrís,Ortalis cinereiceps,751,10,CR-P,,L10535020,"S1 Colorado. Provincia de Puntarenas, CR (9,011, -83,023)",9.01149,-83.0231278,2020-01-22,06:28 AM,eBird - Traveling Count,150,1,.95,,3
S70668819,Chachalaca Cabecigrís,Ortalis cinereiceps,751,5,CR-P,,L10535020,"S1 Colorado. Provincia de Puntarenas, CR (9,011, -83,023)",9.01149,-83.0231278,2020-06-21,05:33 AM,eBird - Traveling Count,177,1,2.55,,3
S63332303,Chachalaca Cabecigrís,Ortalis cinereiceps,751,12,CR-P,,L10480801,"S1-SantaRosa, Buenos Aires, Puntarenas, Costa Rica 9,257, -83,392",9.2572198,-83.3924867,2020-01-12,08:17 AM,eBird - Casual Observation,,0,,,9
S63706187,Chachalaca Cabecigrís,Ortalis cinereiceps,751,4,CR-P,,L10541695,"S2-StMaria, Provincia de Puntarenas, CR (9,276, -83,371)",9.2761099,-83.370737,2020-01-23,06:00 AM,eBird - Traveling Count,120,1,1.3,,8
S65039306,Chachalaca Cabecigrís,Ortalis cinereiceps,751,5,CR-P,,L10541695,"S2-StMaria, Provincia de Puntarenas, CR (9,276, -83,371)",9.2761099,-83.370737,2020-02-25,07:04 AM,eBird - Traveling Count,10,1,.17,,1
S65526386,Chachalaca Cabecigrís,Ortalis cinereiceps,751,6,CR-P,,L10541695,"S2-StMaria, Provincia de Puntarenas, CR (9,276, -83,371)",9.2761099,-83.370737,2020-03-07,05:48 AM,eBird - Traveling Count,271,1,5.13,,9
